,names,scores,logfoldchanges,pvals,pvals_adj
123,ADT.CD140a,-0.67804575,-0.11391198,0.49774269378687286,0.61539096686377
124,ADT.CD304,-0.7255004,-0.17242068,0.4681451062827958,0.5847621068006759
125,ADT.CD127,-0.7297756,-0.07163712,0.4655273718953701,0.5847621068006759
126,ADT.CD185,-0.73682964,-0.08861501,0.4612259482484873,0.5835044554585513
127,ADT.integrin,-0.7673973,-0.107126966,0.44284534027096056,0.5735901550176251
128,ADT.IgE,-0.8088667,-0.20970395,0.41859184323889875,0.5513272748410852
129,ADT.CCR10,-0.8481985,-0.028347975,0.39632745959427584,0.5326360235323168
130,ADT.CD36,-0.8533287,-0.14389087,0.3934770576608222,0.5324664660882767
131,ADT.CD169,-0.8862477,-0.08593504,0.37548407770050996,0.5158165107804985
132,ADT.CD235ab,-0.8875302,-0.314205,0.37479349582902044,0.5158165107804985
133,ADT.CD142,-0.90078336,-0.12601657,0.3677035297933847,0.5112295262180361
134,ADT.CD31,-0.9110438,0.19201337,0.36227229593323973,0.5079281674940268
135,ADT.CD204,-0.9379775,-0.23709229,0.34825596220376853,0.49080633015246133
136,ADT.CD294,-0.9858597,-0.0360594,0.3242019690746263,0.4641207136226229
137,ADT.TMEM119,-0.99825776,-0.051855087,0.31815438742689794,0.45787298084717587
138,ADT.CD80,-1.0277566,-0.033366337,0.30406434019625816,0.44227540392183007
139,ADT.CD258,-1.0307492,-0.069106326,0.3026584335612147,0.44227540392183007
140,ADT.TCRab,-1.0375896,-0.15515046,0.2994611911455214,0.4402888864409828
141,ADT.CD23,-1.0444299,-0.13096623,0.29628656052149405,0.4379888285969912
142,ADT.CD224,-1.0833341,0.007011475,0.2786601499769614,0.41645912524029405
143,ADT.CD11a,-1.1363465,-0.022667615,0.2558115711125384,0.38871925889726505
144,ADT.CD28,-1.1654178,-0.07641849,0.243849902740376,0.37901242025932724
145,ADT.Siglec8,-1.1859387,-0.09819183,0.23564648406655775,0.3683669176212857
146,ADT.CD324,-1.3231725,-0.17441201,0.18577802453373182,0.29378850391380845
147,ADT.CD366,-1.3317229,-0.13412796,0.18295127092600405,0.2910102087244041
148,ADT.CD276,-1.3372806,-0.3524908,0.18113105361247817,0.2898096857799651
149,ADT.CD172a,-1.3398458,-0.19108808,0.18029550188239807,0.2898096857799651
150,"RatIgG1,IsotypeCtrl-1",-1.3432659,-0.19341344,0.179185891532472,0.2898096857799651
151,ADT.CD352,-1.3454034,-0.07294259,0.17849496848544855,0.2898096857799651
152,ADT.CD152,-1.3573741,-0.13235182,0.17466239448423637,0.286193803010315
153,ADT.CD274,-1.4146616,-0.14698258,0.15716772929927042,0.26226762189816905
154,ADT.CD186,-1.4262047,-0.21522745,0.15380927663859112,0.2598516971782409
155,"MouseIgG1,isotypeCtrl",-1.4274873,-0.21315897,0.15343950856870361,0.2598516971782409
156,ADT.CD150,-1.4415953,-0.16481484,0.14941656051408006,0.25560568842660236
157,ADT.CD198,-1.4655365,-0.17097484,0.14277461876355407,0.24578921711194118
158,ADT.CD16,-1.4685291,-0.21106222,0.1419605650941669,0.24578921711194118
159,ADT.CD309,-1.5052958,-0.115494624,0.1322480600831479,0.2320740151136531
160,ADT.CD101,-1.5296644,-0.11969437,0.12609983367056135,0.22417748208099797
161,ADT.CD59,-1.5305194,-0.09787459,0.12588821944301287,0.22417748208099797
162,ADT.TCR,-1.5608733,-0.2199146,0.11855365788433807,0.2135536089042381
163,ADT.CD45RB,-1.565576,-0.30913174,0.11744791876848587,0.21297222603352103
164,ADT.MERTK,-1.5728438,-0.062033616,0.11575499052360651,0.2113111236404092
165,ADT.CD73,-1.5818217,-0.4719713,0.11369027776759988,0.20894429427558897
166,ADT.CD122,-1.5937922,-0.18197462,0.11098257366815006,0.2053555104607947
167,ADT.CD164,-1.6220086,-0.45480424,0.1048015216463943,0.19795842977652256
168,ADT.CD269,-1.6326965,-0.15324007,0.102532840784822,0.19502750135294813
169,ADT.CD70,-1.6741658,-0.12522721,0.09409800021404643,0.18152238339163565
170,ADT.CD89,-1.7147802,-0.11193281,0.08638552641931242,0.1678347370432356
171,ADT.CD2,-1.7310259,-0.47727278,0.08344713221597999,0.16447550697642435
172,ADT.CD134,-1.7720678,-0.23461723,0.07638329779803375,0.1527665955960675
173,ADT.CD201,-1.7814733,-0.14080337,0.07483516956861072,0.15077900831601568
174,ADT.CD85j,-1.7819008,-0.2844497,0.0747654135315876,0.15077900831601568
175,ADT.MICA.MICB,-1.8062694,-0.26588544,0.07087627173747604,0.1449499692676202
176,ADT.CD44,-1.8674047,-0.0019372859,0.061845100257599914,0.12841120053486393
177,ADT.CD178,-1.9054539,-0.19235848,0.05672109713008765,0.11959797224328558
