,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1279,GO_Biological_Process_2025,Positive Regulation of Chromosome Organization (GO:2001252),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,MYC
1280,GO_Biological_Process_2025,Positive Regulation of mRNA Catabolic Process (GO:0061014),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,PABPC1
1281,GO_Biological_Process_2025,Regulation of T Cell Differentiation (GO:0045580),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,ARID1B
1282,GO_Biological_Process_2025,Negative Regulation of Cell Growth (GO:0030308),2/121,0.4479317032572024,0.5480535092033217,0,0,1.3303740851179182,1.0684427265307237,CCDC85B;RACK1
1283,GO_Biological_Process_2025,Negative Regulation of Defense Response (GO:0031348),2/121,0.4479317032572024,0.5480535092033217,0,0,1.3303740851179182,1.0684427265307237,CLEC12A;ELANE
1284,GO_Biological_Process_2025,Erythrocyte Differentiation (GO:0030218),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,MYB
1285,GO_Biological_Process_2025,Hexose Metabolic Process (GO:0019318),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,IRS2
1286,GO_Biological_Process_2025,Membrane Lipid Biosynthetic Process (GO:0046467),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,CERS6
1287,GO_Biological_Process_2025,Natural Killer Cell Activation (GO:0030101),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,CD48
1288,GO_Biological_Process_2025,Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,TRERF1
1289,GO_Biological_Process_2025,Positive Regulation of Innate Immune Response (GO:0045089),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,EREG
1290,GO_Biological_Process_2025,Positive Regulation of Kinase Activity (GO:0033674),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,EREG
1291,GO_Biological_Process_2025,Positive Regulation of Leukocyte Cell-Cell Adhesion (GO:1903039),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,PYCARD
1292,GO_Biological_Process_2025,Positive Regulation of Osteoblast Differentiation (GO:0045669),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,TENT5A
1293,GO_Biological_Process_2025,Positive Regulation of Peptide Hormone Secretion (GO:0090277),1/48,0.4536499725883188,0.5507605154066838,0,0,1.6835854054515935,1.3307553409193136,IRS2
1294,GO_Biological_Process_2025,Axonogenesis (GO:0007409),3/200,0.4576242860244142,0.5547282047410146,0,0,1.2055118272056558,0.9423567538920185,NTNG2;APLP2;S100A6
1295,GO_Biological_Process_2025,Transcription by RNA Polymerase II (GO:0006366),3/200,0.4576242860244142,0.5547282047410146,0,0,1.2055118272056558,0.9423567538920185,CTDP1;CEBPD;RREB1
1296,GO_Biological_Process_2025,Regulation of Insulin Receptor Signaling Pathway (GO:0046626),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,OGT
1297,GO_Biological_Process_2025,Actin Polymerization or Depolymerization (GO:0008154),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,DIAPH2
1298,GO_Biological_Process_2025,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,EREG
1299,GO_Biological_Process_2025,mRNA Catabolic Process (GO:0006402),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,SND1
1300,GO_Biological_Process_2025,Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,RGCC
1301,GO_Biological_Process_2025,Positive Regulation of Intracellular Transport (GO:0032388),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,PRKN
1302,GO_Biological_Process_2025,Positive Regulation of Transport (GO:0051050),1/49,0.4604957634882391,0.555210164574078,0,0,1.6484270414993307,1.278275424954367,CHCHD10
1303,GO_Biological_Process_2025,Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558),3/202,0.4640928515848981,0.5591179983434623,0,0,1.1932740626207965,0.9160414580984167,PRKN;CITED2;RACK1
1304,GO_Biological_Process_2025,Organelle Organization (GO:0006996),6/437,0.4659998861899408,0.5595664957227812,0,0,1.102221292457495,0.8416229900279203,RAB32;PRKN;AGTPBP1;SH3KBP1;MYC;CHCHD10
1305,GO_Biological_Process_2025,Regulation of Interleukin-12 Production (GO:0032655),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,MAPK14
1306,GO_Biological_Process_2025,Regulation of Interleukin-2 Production (GO:0032663),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,RUNX1
1307,GO_Biological_Process_2025,Negative Regulation of Phosphorylation (GO:0042326),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,IRS2
1308,GO_Biological_Process_2025,Nuclear Export (GO:0051168),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,CALR
1309,GO_Biological_Process_2025,Positive Regulation of Cell-Cell Adhesion (GO:0022409),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,CITED2
1310,GO_Biological_Process_2025,Positive Regulation of Fat Cell Differentiation (GO:0045600),1/50,0.4672561148958767,0.5595664957227812,0,0,1.6147037128104254,1.2285921210452877,RREB1
1311,GO_Biological_Process_2025,DNA-templated Transcription (GO:0006351),3/203,0.4673146036844614,0.5595664957227812,0,0,1.187246963562753,0.9032011889260202,CEBPD;RREB1;EREG
1312,GO_Biological_Process_2025,Regulation of Cell Motility (GO:2000145),2/126,0.4687171575383231,0.5602312352644688,0,0,1.276404786680541,0.9672030894997864,FLNA;TMSB10
1313,GO_Biological_Process_2025,Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123),3/204,0.470527816372029,0.5602312352644688,0,0,1.1812798356396157,0.8905671053234192,PRKN;PYCARD;FLNA
1314,GO_Biological_Process_2025,Negative Regulation of MAPK Cascade (GO:0043409),2/127,0.4728184032204959,0.5602312352644688,0,0,1.2661290322580645,0.9483862152436104,PRKN;MYC
1315,GO_Biological_Process_2025,Protein Localization to Nucleus (GO:0034504),2/127,0.4728184032204959,0.5602312352644688,0,0,1.2661290322580645,0.9483862152436104,CHCHD10;CALR
1316,GO_Biological_Process_2025,Regulation of Interferon-Beta Production (GO:0032648),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,PYCARD
1317,GO_Biological_Process_2025,Regulation of Intracellular Transport (GO:0032386),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,RAB11FIP3
1318,GO_Biological_Process_2025,Regulation of Lipid Metabolic Process (GO:0019216),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,IRS2
1319,GO_Biological_Process_2025,Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,ARID1B
1320,GO_Biological_Process_2025,Autophagosome Maturation (GO:0097352),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,VAMP8
1321,GO_Biological_Process_2025,Cardiac Muscle Tissue Development (GO:0048738),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,SLC25A37
1322,GO_Biological_Process_2025,Insulin Receptor Signaling Pathway (GO:0008286),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,IRS2
1323,GO_Biological_Process_2025,Macromolecule Glycosylation (GO:0043413),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,SERP1
1324,GO_Biological_Process_2025,Negative Regulation of T Cell Activation (GO:0050868),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,CTSG
1325,GO_Biological_Process_2025,Negative Regulation of Cell Projection Organization (GO:0031345),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,GFI1
1326,GO_Biological_Process_2025,Positive Regulation of Actin Filament Bundle Assembly (GO:0032233),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,RGCC
1327,GO_Biological_Process_2025,Positive Regulation of Leukocyte Mediated Cytotoxicity (GO:0001912),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,HLA-A
1328,GO_Biological_Process_2025,Proton Transmembrane Transport (GO:1902600),1/51,0.4739320889029147,0.5602312352644688,0,0,1.5823293172690762,1.1815114398548132,RNASEK
1329,GO_Biological_Process_2025,Regulation of Telomere Maintenance (GO:0032204),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,MYC
1330,GO_Biological_Process_2025,Determination of Left/Right Symmetry (GO:0007368),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,CITED2
1331,GO_Biological_Process_2025,Endosome Organization (GO:0007032),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,RNASEK
1332,GO_Biological_Process_2025,Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,PYCARD
1333,GO_Biological_Process_2025,Negative Regulation of Protein Ubiquitination (GO:0031397),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,OGT
1334,GO_Biological_Process_2025,Positive Regulation of Proteolysis (GO:0045862),1/52,0.4805247344839986,0.5651412434487496,0,0,1.5512245058666037,1.1368561034477702,OGT
1335,GO_Biological_Process_2025,Regulation of Neuron Apoptotic Process (GO:0043523),2/129,0.480963617117109,0.5651412434487496,0,0,1.2460629921259845,0.9120728181222688,PRKN;GRN
1336,GO_Biological_Process_2025,Regulation of Protein Catabolic Process (GO:0042176),2/129,0.480963617117109,0.5651412434487496,0,0,1.2460629921259845,0.9120728181222688,PRKN;FLNA
1337,GO_Biological_Process_2025,Modification-Dependent Protein Catabolic Process (GO:0019941),3/208,0.4832926002782136,0.5674534193102194,0,0,1.1579934827688358,0.8420152879291263,PRKN;FAU;UBA52
1338,GO_Biological_Process_2025,Regulation of Smoothened Signaling Pathway (GO:0008589),1/53,0.4870350875946954,0.5697186318773392,0,0,1.5213160333642262,1.0944638268213676,RACK1
1339,GO_Biological_Process_2025,Cellular Response to Ionizing Radiation (GO:0071479),1/53,0.4870350875946954,0.5697186318773392,0,0,1.5213160333642262,1.0944638268213676,MAPK14
1340,GO_Biological_Process_2025,Ceramide Metabolic Process (GO:0006672),1/53,0.4870350875946954,0.5697186318773392,0,0,1.5213160333642262,1.0944638268213676,CERS6
1341,GO_Biological_Process_2025,Negative Regulation of Immune System Process (GO:0002683),1/53,0.4870350875946954,0.5697186318773392,0,0,1.5213160333642262,1.0944638268213676,CLEC12A
1342,GO_Biological_Process_2025,Positive Regulation of Small GTPase Mediated Signal Transduction (GO:0051057),1/53,0.4870350875946954,0.5697186318773392,0,0,1.5213160333642262,1.0944638268213676,SHOC2
1343,GO_Biological_Process_2025,Regulation of Response to External Stimulus (GO:0032101),2/132,0.4930358577088047,0.5763090271283722,0,0,1.21712158808933,0.8607159798897599,PYCARD;GRN
